v1,v2,v3,v4,v5,v6,v7,v8,v9,result
0,0,0,540,1279,1545,1866,1902,1987,359
0,180,0,511,1279,1543,1745,1892,1990,360
0,43,0,924,1337,1594,1769,1925,2015,366
0,44,0,927,1330,1599,1758,1920,1999,366
0,10,0,1062,1384,1623,1800,1941,2114,371
0,25,163,1079,1381,1630,1792,1945,2004,372
0,0,0,1333,1432,1655,1828,2058,2005,377
0,0,0,1140,1448,1670,1838,1961,2004,380
0,0,0,1159,1562,1674,1847,1964,2129,380
0,0,0,1223,1499,1702,1873,1971,2026,386
0,0,127,1222,1612,1720,1984,1973,2023,387
0,0,0,1253,1536,1737,2006,1989,2048,391
0,0,255,1279,1544,1746,1895,1990,2081,394
25,0,621,1486,1564,1766,1910,2003,2096,396
24,0,774,1500,1576,1779,2024,2084,2102,400
190,0,948,1346,1610,1800,1927,2006,2094,403
1,0,1023,1383,1756,1818,1940,2078,2098,405
0,0,1081,1403,1642,1828,1938,2017,2083,408
0,0,1111,1435,1656,1844,1956,2012,2063,412
0,0,1136,1455,1685,1859,1956,2019,2185,415
0,0,1169,1485,1702,1875,1972,2019,2053,418
0,0,1188,1485,1704,1870,1973,2021,2045,420
0,0,1238,1520,1732,1891,2096,2020,2028,423
0,70,1255,1536,1744,1909,1981,2049,2034,427
191,255,1264,1550,1750,1914,2002,2062,2019,429
0,721,1320,1584,1784,1925,2003,2107,2008,432
0,843,1337,1799,1800,1927,2001,2115,2003,435
0,942,1359,1612,1797,1945,2002,2102,2008,437
0,1233,1383,1804,1814,1942,2015,2083,1982,441
0,1080,1405,1655,1833,1951,2019,2080,1982,444
0,1130,1431,1868,1864,1957,2019,2066,1978,447
0,1160,1451,1686,1861,1974,2012,2050,1959,450
116,1171,1465,1702,1879,1973,2022,2053,1959,452
0,1205,1698,1720,1883,1991,2019,2031,1939,456
239,1239,1518,1735,1889,1988,2037,2032,1932,459
621,1265,1551,1764,1914,2003,2081,2022,1902,462
799,1304,1564,1768,1925,2005,2222,2016,1991,466
959,1318,1578,1984,1927,2005,2111,2005,1887,468
1008,1336,1595,1799,1920,2175,2093,2005,1875,471
1055,1351,1610,1812,1941,2003,2273,1993,1859,474
1107,1386,1625,1830,1940,2004,2075,1990,1953,477
1126,1401,1643,1831,2083,2013,2067,2072,1831,480
1171,1437,1672,1862,1959,2003,2054,1963,1818,483
1183,1452,1672,1855,1974,2022,2044,1956,1810,485
1217,1467,1704,1878,1973,2166,2043,2038,1779,489
1253,1499,1860,1896,1987,2045,2153,1943,1766,492
1279,1516,1733,2102,1988,2071,2024,1925,1748,495
1510,1544,1750,1920,2013,2098,2015,1903,1734,498
1328,1565,1770,2134,2158,2099,2109,1893,1701,501
1349,1578,1782,1938,2007,2094,2005,1873,1700,504
1381,1612,1971,1940,2000,2079,1989,1863,1770,507
1401,1633,1816,1942,2003,2058,1971,1846,1656,510
1429,1643,1830,1958,2137,2192,1975,1834,1624,514
1443,1658,1840,1960,1998,2057,1958,1818,1603,517
1466,1670,1845,1959,2129,2051,1958,1811,1613,519
1499,1690,1861,1981,2021,2041,1945,1781,1577,523
1514,1704,1881,1970,2187,2023,1927,1783,1561,525
1529,1730,1894,1995,2067,2026,1925,1743,1525,529
1546,1735,1893,2201,2084,2022,1904,1747,1536,530
1581,1765,1911,2006,2244,2006,1895,1726,1609,535
1595,1763,2089,2010,2096,2134,1899,1699,1480,537
1627,1963,1927,2005,2075,1987,1858,1671,1443,541
1630,1798,2102,2003,2063,1974,1867,1673,1442,543
1659,1968,1950,2015,2049,1978,1846,1745,1432,545
1818,1823,1955,2005,2048,1959,1812,1624,1435,551
1686,1853,1966,2000,2175,2072,1821,1608,1465,552
1702,1865,1974,2005,2034,1944,1780,1580,1599,555
1741,1873,1977,2036,2016,1920,1764,1552,1873,558
1729,1883,1976,2050,2016,1910,1743,1547,2037,561
1877,1892,1993,2086,2006,1906,1735,1626,2148,2148
1767,1910,2198,2101,1985,1874,1792,1491,2293,568
1784,2098,1987,2279,1997,1878,1701,1480,2367,571
1801,1927,1987,2086,1991,1861,1679,1470,2376,572
1810,1928,2006,2070,1968,1847,1774,1537,2393,576
1829,1944,2003,2050,1977,1935,1642,1437,2397,580
1846,2105,2007,2050,1959,1811,1631,1409,2363,582
1862,2117,2010,2030,2054,1795,1612,1449,2253,585
